99	99	99	99	99	99	99	99	99	99	99
99	99	99	99	99	99	99	99	99	99	99
99	99	99	99	99	99	99	99	99	99	99
99	99	99	99	99	99	99	99	99	99	99
99	99	99	99	99	99	99	99	99	99	99
99	99	99	99	99	99	99	99	99	99	99
99	99	99	99	99	99	99	99	99	99	99
99	99	99	99	99	99	99	99	99	99	99
99	99	99	99	99	99	99	99	99	99	99
0	55	55	99	55	99	99	99	55	99	55
0	55	55	99	55	99	99	99	55	99	55
99	99	99	99	99	99	99	99	99	99	99
99	99	99	99	99	99	99	99	99	99	99
0	55	55	99	55	99	99	99	55	99	55
99	99	99	99	99	99	99	99	99	99	99
99	99	99	99	99	99	99	99	99	99	99
99	99	99	99	99	99	99	99	99	99	99
99	99	99	99	99	99	99	99	99	99	99
99	99	99	99	99	99	99	99	99	99	99
99	99	99	99	99	99	99	99	99	99	99
99	99	99	99	99	99	99	99	99	99	99
99	99	99	99	99	99	99	99	99	99	99
99	99	99	99	99	99	99	99	99	99	99
99	99	99	99	99	99	99	99	99	99	99
99	99	99	99	99	99	99	99	99	99	99
99	99	99	99	99	99	99	99	99	99	99
99	99	99	99	99	99	99	99	99	99	99
99	99	99	99	99	99	99	99	99	99	99
99	99	99	99	99	99	99	99	99	99	99
99	99	99	99	99	99	99	99	99	99	99
99	99	99	99	99	99	99	99	99	99	99
99	99	99	99	99	99	99	99	99	99	99
0	55	55	99	55	99	99	99	55	99	55
99	99	99	99	99	99	99	99	99	99	99
99	99	99	99	99	99	99	99	99	99	99
99	99	99	99	99	99	99	99	99	99	99
99	99	99	99	99	99	99	99	99	99	99
99	99	99	99	99	99	99	99	99	99	99
99	99	99	99	99	99	99	99	99	99	99
99	99	99	99	99	99	99	99	99	99	99
10	55	55	99	55	99	99	99	55	99	55
10	55	55	99	55	99	99	99	55	99	55
10	55	55	99	55	99	99	99	55	99	55
10	55	55	99	55	9	99	99	55	99	55
10	55	55	99	55	99	99	99	55	99	55
10	55	55	99	55	9	99	99	55	99	55
3	99	3	99	99	99	99	99	99	99	99
10	55	55	99	55	99	99	99	55	99	55
2	1	2	4	4	6	7	8	99	6	55
2	1	2	4	4	6	7	8	99	6	55
2	1	2	4	4	6	7	8	99	6	55
2	1	2	4	4	6	7	8	99	6	55
2	1	2	4	4	6	7	8	99	6	55
2	1	2	4	4	6	7	8	99	6	55
2	1	2	4	4	6	7	8	99	6	55
2	1	2	4	4	6	7	8	99	6	55
2	1	2	4	4	6	7	8	99	6	55
2	1	2	4	4	6	7	8	99	6	55
99	99	99	99	99	99	99	99	99	99	99
10	55	55	99	55	99	99	99	55	99	55
10	55	55	99	55	99	99	99	55	99	55
10	55	55	99	55	99	99	99	55	99	55
10	55	55	99	55	99	99	99	55	99	55
99	99	99	99	99	99	99	99	99	99	99
99	99	99	99	99	99	99	99	99	99	99
1	1	99	99	99	99	99	99	99	99	55
1	1	99	99	99	99	99	99	99	99	55
1	1	99	99	99	99	99	99	99	99	55
1	1	99	99	99	99	99	99	99	99	55
1	1	99	99	5	99	99	99	99	99	55
1	1	99	99	99	99	99	99	99	99	55
1	1	99	99	99	99	99	99	99	99	55
1	1	99	99	99	99	99	99	99	99	55
1	1	99	99	99	99	99	99	99	99	55
1	1	99	99	99	99	99	99	99	99	55
1	1	99	99	99	99	99	99	99	99	55
1	1	99	99	99	99	99	99	99	99	55
1	1	99	99	99	99	99	99	99	99	55
1	1	99	99	99	99	99	99	99	99	55
1	1	99	99	99	99	99	99	99	99	55
1	1	99	99	99	99	99	99	99	99	55
1	1	99	99	99	99	99	99	99	99	55
1	1	99	99	99	99	99	99	99	99	55
1	1	99	99	99	99	99	99	99	99	55
1	1	99	99	99	99	99	99	99	99	55
1	1	99	99	99	99	99	99	99	99	55
1	1	99	99	99	99	99	99	99	99	55
1	1	99	99	99	99	99	99	99	99	55
1	1	99	99	99	99	99	99	99	99	55
1	1	99	99	99	99	99	99	99	99	55
1	1	99	99	99	99	99	99	99	99	55
10	55	55	99	55	99	99	99	55	99	55
99	99	99	99	99	99	99	99	99	99	99
10	55	55	99	55	99	99	99	55	99	55
99	99	99	99	99	99	99	99	99	99	99
99	99	99	99	99	99	99	99	99	99	99
99	99	99	99	99	99	99	99	99	99	99
1	1	99	99	99	99	99	99	99	99	55
1	1	99	99	99	99	99	99	99	99	55
1	1	99	99	99	99	99	99	99	99	55
1	1	99	99	99	99	99	99	99	99	55
1	1	99	99	5	99	99	99	99	99	55
1	1	99	99	99	99	99	99	99	99	55
1	1	99	99	99	99	99	99	99	99	55
1	1	99	99	99	99	99	99	99	99	55
1	1	99	99	99	99	99	99	99	99	55
1	1	99	99	99	99	99	99	99	99	55
1	1	99	99	99	99	99	99	99	99	55
1	1	99	99	99	99	99	99	99	99	55
1	1	99	99	99	99	99	99	99	99	55
1	1	99	99	99	99	99	99	99	99	55
1	1	99	99	99	99	99	99	99	99	55
1	1	99	99	99	99	99	99	99	99	55
1	1	99	99	99	99	99	99	99	99	55
1	1	99	99	99	99	99	99	99	99	55
1	1	99	99	99	99	99	99	99	99	55
1	1	99	99	99	99	99	99	99	99	55
1	1	99	99	99	99	99	99	99	99	55
1	1	99	99	99	99	99	99	99	99	55
1	1	99	99	99	99	99	99	99	99	55
1	1	99	99	99	99	99	99	99	99	55
1	1	99	99	99	99	99	99	99	99	55
1	1	99	99	99	99	99	99	99	99	55
99	99	99	99	99	99	99	99	99	99	99
99	99	99	99	99	99	99	99	99	99	99
99	99	99	99	99	99	99	99	99	99	99
99	99	99	99	99	99	99	99	99	99	99
99	99	99	99	99	99	99	99	99	99	99
